day,time_ET,symbol,setup,grade,entry,stop,t1,rvol,off_high_pct,outcome,scaled_pnl_pct,mae_pct,mfe_pct
2026-07-15,09:33,KOPN,opening_drive,C,4.27,4.20,4.43,3.5,-3.0,invalidated,-1.95,-1.87,1.41
2026-07-15,09:34,UMAC,opening_drive,B,20.21,19.91,21.94,3.0,-0.1,invalidated,-1.80,-1.53,2.33
2026-07-15,09:35,ERNA,break_of_structure,B,9.80,9.28,11.03,1171.1,-1.0,invalidated,-5.59,-5.71,1.02
2026-07-15,09:38,TRT,opening_drive,C,12.50,12.23,13.12,11.4,-1.5,invalidated,-2.42,-4.00,3.28
2026-07-15,09:44,AIIO,hod_break,B,4.75,4.39,5.50,4.4,-0.2,invalidated,-7.76,-7.79,4.21
2026-07-15,09:47,SOBR,opening_range_break,C,2.38,2.30,2.63,7.1,-9.5,invalidated,-3.64,-6.30,0.84
2026-07-15,09:57,VTAK,opening_range_break,C,0.75,0.73,0.79,2.5,-3.0,invalidated,-2.85,-6.24,0.00
2026-07-15,09:58,AIIO,opening_range_break,C,4.91,4.84,5.50,4.2,-0.4,invalidated,-1.82,-1.83,0.81
2026-07-15,10:36,TGHL,opening_range_break,B,0.96,0.92,1.06,17.8,-1.2,invalidated,-4.08,-6.29,1.20
2026-07-15,11:32,ELVA,break_of_structure,B+,11.78,11.58,12.29,10.4,-4.1,invalidated,-2.03,-1.95,0.00
2026-07-15,13:14,KOPN,break_of_structure,B,4.24,4.18,4.40,1.3,-3.6,invalidated,-1.80,-1.65,1.65
2026-07-16,09:57,DXST,opening_range_break,B+,2.80,2.72,3.00,150.5,-2.1,invalidated,-3.01,-5.00,1.07
2026-07-16,09:58,VEEE,break_of_structure,B,41.60,39.75,47.66,1.5,-2.9,invalidated,-4.73,-6.71,0.00
2026-07-16,09:58,LCID,opening_range_break,C,6.24,6.15,6.53,1.3,-0.8,target_hit,2.02,-1.44,4.65
2026-07-16,10:00,STIM,opening_range_break,C,2.15,2.11,2.31,2.6,-1.8,target_hit,3.41,0.00,7.44
2026-07-16,10:47,LCID,break_of_structure,C,6.69,6.59,,1.5,0.0,invalidated,-1.80,-2.54,2.69
2026-07-16,10:57,SKYQ,break_of_structure,C,3.55,3.50,3.77,0.1,-1.1,target_hit,7.61,0.00,6.76
2026-07-17,07:16,SDOT,break_of_structure,B,20.96,19.91,23.50,71.7,-2.5,target_hit,5.00,-2.72,13.79
2026-07-17,07:54,SDOT,break_of_structure,B,23.60,22.55,25.99,77.1,-2.8,invalidated,-5.40,-8.35,2.53
2026-07-17,09:32,LCID,opening_drive,C,6.71,6.61,,2.7,-0.6,invalidated,-1.80,-1.79,5.96
2026-07-17,09:34,JLHL,break_of_structure,B+,9.94,9.75,10.49,5.5,-2.3,target_hit,6.02,-1.06,7.19
2026-07-17,09:53,SKHU,opening_range_break,B,18.55,18.24,19.36,4.4,0.0,invalidated,-1.96,-1.73,0.22
2026-07-17,09:56,NVVE,opening_range_break,C,8.47,8.27,8.98,0.9,-2.3,target_hit,6.60,0.00,9.68
2026-07-17,10:16,BIYA,opening_range_break,C,4.51,4.36,4.92,0.5,-5.6,invalidated,-3.57,-3.33,0.44
2026-07-17,11:39,LCID,break_of_structure,C,6.89,6.79,7.13,1.3,-3.1,target_hit,4.34,-0.73,3.48
2026-07-17,12:01,SKHU,opening_range_break,B,21.22,20.90,22.30,2.3,-0.1,invalidated,-1.80,-1.93,2.73
2026-07-17,13:13,LEDS,hod_break,C,3.04,2.97,3.50,0.6,0.0,invalidated,-2.69,-2.63,0.33
2026-07-20,04:40,BABA,break_of_structure,C,119.58,115.99,130.33,,-0.0,expired,0.13,-1.40,1.90
2026-07-20,09:32,SLNH,opening_drive,C,1.21,1.19,1.25,4.0,-0.8,target_hit,3.82,-0.83,3.31
2026-07-20,09:32,IREN,break_of_structure,B,36.66,36.11,38.00,8.3,-1.0,target_hit,4.70,0.00,3.82
2026-07-20,09:33,NUAI,opening_drive,C,4.74,4.65,4.93,9.9,-2.3,invalidated,-2.11,-1.90,0.63
2026-07-20,09:35,IREN,opening_drive,C,38.04,37.47,39.50,3.8,-0.1,target_hit,4.84,-0.16,4.44
2026-07-20,09:40,ADVB,break_of_structure,B,6.99,6.69,7.73,1040.1,-3.9,target_hit,12.20,-2.58,12.30
2026-07-20,09:43,STIM,opening_drive,below,1.79,1.76,1.85,2.6,-0.6,target_hit,3.89,0.00,6.15
2026-07-20,09:52,STIM,opening_range_break,C,1.86,1.83,1.92,4.2,-2.1,target_hit,6.13,0.00,3.76
2026-07-20,09:59,ADVB,opening_range_break,C,7.56,7.28,8.24,703.4,-0.9,invalidated,-4.03,-3.97,3.84
2026-07-20,10:16,SLNH,hod_break,C,1.33,1.28,,2.1,0.0,expired,3.45,-1.50,6.77
2026-07-20,11:16,ZYBT,break_of_structure,B,2.16,2.03,2.50,325.6,-4.8,invalidated,-6.42,-6.48,3.24
2026-07-20,11:23,BABA,break_of_structure,C,119.66,117.87,123.47,1.0,-0.1,expired,0.77,-0.02,1.83
2026-07-20,12:27,AMC,hod_break,C,2.43,2.34,,1.5,0.0,invalidated,-3.85,-3.70,0.41
2026-07-20,12:29,NUAI,opening_range_break,C,5.00,4.92,5.24,2.1,-1.2,expired,2.29,-0.60,3.40
2026-07-21,04:06,NBIS,hod_break,C,194.85,189.00,,1.3,-0.1,expired,11.72,-1.24,13.42
2026-07-21,04:59,NBIS,hod_break,A-,196.26,190.37,225.23,1.5,-0.0,expired,10.92,-1.95,12.61
2026-07-21,09:34,AEHR,opening_drive,B,86.83,85.53,89.50,7.5,-0.9,target_hit,5.33,-0.38,3.64
2026-07-21,09:35,SKHU,break_of_structure,B+,20.51,20.20,21.50,8.8,-1.3,target_hit,2.11,0.00,4.83
